customer_id,first_name,last_name,email,phone,date_of_birth,gender,annual_income,pan_number,aadhar_number,city,state,pincode,customer_since,kyc_status,credit_score,risk_category,is_active
CUST_000001,FirstName1,LastName1,qahftrxc@outlook.com,+910013389083,1985-11-23,Female,596793.12,PVAVS5423Y,651423718431,Delhi,Gujarat,201414,2020-06-20,Pending,344,High,True
CUST_000002,FirstName2,LastName2,dxchqxje@gmail.com,+910341316475,1950-06-12,F,1406315.31,SSBQN3276G,459853524491,Mumbai,Tamil Nadu,961722,2015-06-13,Pending,367,Low,True
CUST_000003,FirstName3,LastName3,osfmxqdd@hotmail.com,+919696532871,1988-01-28,M,475114.37,DSPJP7848W,118825374874,Jaipur,West Bengal,905934,2020-02-10,Pending,461,Medium,False
CUST_000004,FirstName4,LastName4,ztncqvnf@hotmail.com,+912880957015,1996-05-08,M,633568.87,PBTVZ8227Y,370545575298,Jaipur,Gujarat,322086,2023-12-23,Verified,619,Medium,True
CUST_000005,FirstName5,LastName5,qlndfipf@yahoo.com,+910103105183,1957-11-16,F,1170621.08,TXPGL6311R,680466851760,Pune,Rajasthan,864491,2015-11-21,Rejected,400,Low,True
CUST_000006,FirstName6,LastName6,iwgelkhg@gmail.com,+917810801326,1971-08-07,Female,,EAJYU4687D,586139219319,Mumbai,Uttar Pradesh,163918,2020-01-02,Rejected,788,High,True
CUST_000007,FirstName7,LastName7,nbnwbbwk@yahoo.com,,1999-05-07,Male,629634.71,,263819832887,Jaipur,Tamil Nadu,630458,2019-03-12,Verified,550,Medium,True
CUST_000008,FirstName8,LastName8,lohzunro@gmail.com,+912411824493,1985-06-07,Male,1109736.3,GXBQV0052Q,529131687165,Ahmedabad,Uttar Pradesh,839945,2021-09-01,Verified,377,High,True
CUST_000009,FirstName9,LastName9,ovpddixu@gmail.com,+915331586923,1995-03-26,F,1786549.17,ATIYV3421J,163473174945,Chennai,Tamil Nadu,956253,2022-06-10,Verified,528,Low,True
CUST_000010,FirstName10,LastName10,khbujnrv@hotmail.com,+910142940196,1962-12-26,Male,985508.99,ZCXEB6088S,422858884978,Pune,Delhi,796503,2020-10-11,Rejected,427,High,True
CUST_000011,FirstName11,LastName11,nrisoerj@yahoo.com,,1990-10-20,Male,1036978.74,LFLXU2148R,649122534217,Chennai,West Bengal,335552,2018-03-01,Verified,550,Medium,True
CUST_000012,FirstName12,LastName12,tlxosjkd@gmail.com,+911632870831,1969-03-26,Female,1401639.92,ZPYXQ8687X,877770407340,Kolkata,Tamil Nadu,980660,2019-09-16,Rejected,544,Medium,True
CUST_000013,FirstName13,LastName13,sgixcdjd@yahoo.com,+911665876036,1964-10-23,M,1742117.66,UJAIT6889X,899939450273,Kolkata,Gujarat,609232,2015-07-11,Rejected,714,High,True
CUST_000014,FirstName14,LastName14,mdqakoaq@yahoo.com,+917204653755,1988-07-09,Female,654088.76,CANZI1003E,133393394260,Bangalore,Tamil Nadu,232352,2022-11-04,Rejected,523,Medium,True
CUST_000015,FirstName15,LastName15,teptcvzc@gmail.com,+914966319314,1994-11-20,M,1633208.99,PBNRB5067C,693495306788,Ahmedabad,Karnataka,556641,2017-12-17,Rejected,576,High,True
CUST_000016,FirstName16,LastName16,nmltgwvc@outlook.com,+913799650752,1971-04-12,Male,812609.92,,493773900135,Ahmedabad,Rajasthan,931450,2015-02-10,Verified,714,High,True
CUST_000017,FirstName17,LastName17,rjoizojl@hotmail.com,+914313518233,1987-08-09,Male,,,306895613415,Ahmedabad,Delhi,112861,2024-05-16,Pending,751,Medium,True
CUST_000018,FirstName18,LastName18,bymvkbqb@yahoo.com,+919413186999,1954-09-13,Female,1835307.88,HPKPB1334R,357342194159,Bangalore,Uttar Pradesh,178711,2017-01-14,Pending,781,Medium,False
CUST_000019,FirstName19,LastName19,sslryuqr@yahoo.com,+916183242102,1990-05-20,Male,990476.21,,628091029073,Kolkata,Maharashtra,195763,2018-11-27,Rejected,321,High,True
CUST_000020,FirstName20,LastName20,otenlhzl@outlook.com,+911756551256,1984-08-10,Female,1664418.86,NLHIZ6808L,188835176902,Jaipur,Telangana,752878,2022-11-15,Verified,508,Medium,True
CUST_000021,FirstName21,LastName21,ylsdzpge@gmail.com,+918613171274,1972-12-09,Female,1702503.1,ZGNJY8214U,779855617282,Jaipur,West Bengal,960408,2015-05-24,Pending,801,Low,True
CUST_000022,FirstName22,LastName22,mitjywzg@outlook.com,,1948-09-19,Male,1765460.56,,534255440919,Lucknow,Gujarat,781403,2016-06-28,Rejected,846,Medium,True
CUST_000023,FirstName23,LastName23,qxmoqgrh@yahoo.com,+911611724005,1990-01-10,Male,874713.96,DNPUE1969S,915388270025,Bangalore,Tamil Nadu,583550,2019-08-09,Rejected,309,Medium,True
CUST_000024,FirstName24,LastName24,relipqlg@hotmail.com,+913671369594,1984-05-01,Female,694064.68,,458895445405,Chennai,West Bengal,810687,2017-11-04,Rejected,340,Medium,True
CUST_000025,FirstName25,LastName25,ajdxikfu@hotmail.com,+918842474517,1944-03-25,F,1748253.07,TZZVJ6048D,703845186708,Lucknow,Gujarat,962367,2020-02-22,Verified,782,Low,True
CUST_000026,FirstName26,LastName26,yipqqmsq@gmail.com,+912004711382,1964-08-12,Female,1257212.62,TXRVQ4053L,486858678896,Delhi,Telangana,670913,2020-01-13,Pending,494,Low,True
CUST_000027,FirstName27,LastName27,vcfqzbiz@yahoo.com,+911839335290,1957-03-05,Male,1637324.88,CWDIU9502G,307666500369,Jaipur,Delhi,881886,2016-08-15,Pending,825,High,True
CUST_000028,FirstName28,LastName28,nybuwnlz@gmail.com,+917661771159,1949-02-05,Male,,PSJPH8961U,287497874085,Jaipur,Tamil Nadu,550961,2022-04-14,Pending,764,Medium,True
CUST_000029,FirstName29,LastName29,clrjdxbv@gmail.com,+916152809885,1982-02-14,Male,1772493.27,YKXBH4519M,353598145654,Ahmedabad,Tamil Nadu,988432,2016-06-28,Rejected,676,Low,True
CUST_000030,FirstName30,LastName30,ouvzvpqa@hotmail.com,,1982-07-03,F,,ZCNJL2545U,239117061037,Bangalore,Karnataka,891083,2024-01-22,Verified,578,Medium,True
CUST_000031,FirstName31,LastName31,mlhtclhr@outlook.com,+918403690034,1953-03-25,Male,721004.84,,169368548403,Mumbai,Rajasthan,181644,2020-10-14,Rejected,714,High,True
CUST_000032,FirstName32,LastName32,hkzeylrj@outlook.com,+911369681645,1954-06-25,F,337482.88,QNEUI2312G,384290852623,Bangalore,Delhi,285751,2022-08-25,Rejected,759,High,True
CUST_000033,FirstName33,LastName33,oqqwqdbl@hotmail.com,,1943-06-27,Male,338115.8,WWQML8079R,626791202508,Ahmedabad,Uttar Pradesh,258189,2015-08-04,Pending,386,High,True
CUST_000034,FirstName34,LastName34,bsznpjxk@hotmail.com,+919051518644,1986-11-20,F,800051.66,PDIZS6291H,717196368203,Hyderabad,Karnataka,802667,2023-02-21,Rejected,733,High,True
CUST_000035,FirstName35,LastName35,jefymfdc@gmail.com,+918880592962,1950-03-27,F,1498129.4,BJSZQ7383H,868436040410,Hyderabad,Rajasthan,584106,2019-07-17,Rejected,728,Low,True
CUST_000036,FirstName36,LastName36,udgqwocv@gmail.com,+914124782613,1992-08-12,M,946814.43,JJJCF5152D,570073411827,Bangalore,Rajasthan,570392,2024-01-03,Verified,562,Low,True
CUST_000037,FirstName37,LastName37,osnchhbk@outlook.com,+911179808932,1958-07-01,Male,633015.63,KRCZB8888N,739773100462,Mumbai,Gujarat,491435,2019-12-01,Pending,369,Medium,True
